#{"t_start": 1774765019.907924, "env_id": "None"}
r,l,t
-1.0,50,4.256247
1.0,17,5.435955
-1.0,32,7.181089
1.0,21,8.696506
-1.0,90,12.146459
-1.0,34,13.550875
-1.0,37,14.94537
-1.0,50,19.596792
-1.0,37,22.040923
-1.0,28,23.272676
1.0,36,25.167174
-1.0,27,26.592649
-1.0,37,28.816638
-1.0,46,31.32375
-1.0,49,34.926445
-1.0,39,37.644614
-1.0,39,40.292965
-1.0,38,43.223193
1.0,41,45.146807
-1.0,26,46.577511
-1.0,29,47.805817
-1.0,31,52.952824
-1.0,37,57.68625
1.0,26,59.025985
-1.0,31,62.088892
-1.0,37,64.094011
-1.0,25,66.391099
-1.0,28,67.910204
-1.0,36,70.352161
-1.0,33,72.134887
-1.0,42,78.014957
-1.0,25,80.648458
-1.0,34,82.928874
1.0,35,84.519922
-1.0,24,85.534354
-1.0,28,86.567458
1.0,29,88.411692
-1.0,44,92.585594
1.0,31,94.298298
1.0,40,99.009971
-1.0,25,100.958395
-1.0,30,102.074258
-1.0,34,104.168594
-1.0,45,105.773335
1.0,35,108.765397
1.0,36,110.135382
1.0,34,111.388193
-1.0,28,112.533489
-1.0,26,113.490252
1.0,96,117.780952
1.0,42,121.558421
-1.0,24,122.658117
-1.0,23,123.919561
-1.0,31,125.628917
-1.0,33,127.284861
-1.0,28,128.497142
1.0,34,129.915124
-1.0,26,159.618382
-1.0,26,160.505729
1.0,36,161.601765
-1.0,29,162.727289
-1.0,30,163.859725
-1.0,33,165.048979
1.0,25,166.081072
-1.0,32,167.239273
-1.0,29,168.310555
-1.0,26,169.196386
-1.0,26,170.079731
-1.0,26,171.072108
-1.0,26,171.96877
-1.0,24,172.951058
-1.0,27,173.92613
-1.0,35,175.773568
-1.0,35,177.392522
-1.0,21,178.205257
-1.0,28,179.246698
1.0,34,180.491391
-1.0,37,181.946091
1.0,39,183.383187
1.0,56,185.391421
-1.0,27,186.360651
1.0,28,187.504723
1.0,30,188.793825
-1.0,28,189.7103
-1.0,34,190.807944
1.0,26,191.887977
-1.0,21,192.983311
-1.0,23,193.857028
-1.0,31,194.915684
-1.0,30,196.028324
1.0,31,197.246448
-1.0,34,198.915578
1.0,25,199.817558
1.0,26,200.82474
-1.0,36,202.613175
-1.0,32,204.31259
-1.0,25,205.350134
-1.0,26,206.421292
1.0,36,207.707982
1.0,34,208.901494
-1.0,19,209.543297
1.0,27,210.451277
-1.0,39,212.124251
-1.0,26,213.015515
1.0,30,214.194011
1.0,36,215.419744
-1.0,28,216.309981
1.0,31,217.371345
-1.0,17,218.039997
1.0,41,219.490742
-1.0,30,220.547769
-1.0,33,221.750684
1.0,57,223.680176
1.0,41,225.273836
-1.0,36,226.736204
-1.0,44,228.244984
1.0,34,229.495743
1.0,32,230.539989
-1.0,30,231.910761
1.0,32,233.082742
-1.0,36,234.313225
-1.0,28,235.412249
-1.0,39,236.955762
-1.0,22,271.656283
1.0,35,272.998065
-1.0,30,274.65116
1.0,31,275.563682
-1.0,16,277.799236
-1.0,27,282.053573
1.0,40,283.788905
-1.0,26,286.064516
-1.0,28,289.308643
-1.0,29,291.129139
-1.0,29,292.227598
1.0,29,293.231832
-1.0,23,295.644718
1.0,27,297.737421
-1.0,31,299.334264
-1.0,31,300.875514
1.0,28,301.936171
-1.0,35,303.465603
-1.0,44,305.110031
-1.0,26,306.108623
-1.0,26,306.980021
-1.0,29,307.931899
-1.0,29,309.323974
-1.0,26,312.191146
-1.0,23,313.202175
-1.0,50,314.879362
-1.0,26,315.788856
-1.0,32,317.767536
1.0,31,319.196783
-1.0,24,320.240526
-1.0,23,321.162927
-1.0,29,322.266972
-1.0,40,323.953107
-1.0,26,325.104578
-1.0,41,326.742786
-1.0,17,327.460032
-1.0,40,329.130847
-1.0,33,330.180555
1.0,43,331.642116
-1.0,28,332.541072
-1.0,65,334.893875
1.0,36,336.263577
-1.0,22,337.13206
1.0,29,338.370985
-1.0,42,339.852408
-1.0,37,343.896258
-1.0,33,345.774596
-1.0,33,346.984696
1.0,35,348.288274
1.0,24,349.139799
-1.0,28,350.599147
-1.0,22,352.029282
-1.0,24,353.337127
1.0,43,355.993992
-1.0,27,357.159265
-1.0,26,358.421274
-1.0,27,360.212305
1.0,31,362.061231
-1.0,44,363.863061
-1.0,24,364.914915
-1.0,30,366.343001
-1.0,33,367.63077
-1.0,31,368.796859
-1.0,32,369.934201
-1.0,30,371.481204
-1.0,28,372.76873
-1.0,20,373.665276
